industry_type,service_type,priority_score,is_walk_in,party_size,age_bracket,queue_length_ahead,active_counters,hour_of_day,day_of_week,calendar_load_factor,rolling_velocity_mins,queuing_theory_baseline,actual_wait_mins
2,0,2,0,1,1,7,7,15,1,0.35,12.53,10.65,13.4
1,0,2,1,1,1,7,1,19,6,0.65,7.95,47.3,57.1
1,0,2,0,2,1,25,4,17,4,0.52,6.45,34.27,36.9
0,0,1,1,1,2,10,5,11,1,0.38,12.95,25.9,31.1
3,1,3,0,2,2,47,6,14,1,0.7,7.61,41.73,48.7
2,2,3,1,1,1,11,5,9,2,0.52,45.38,69.89,77.3
0,1,1,1,1,1,22,4,15,0,0.85,18.22,100.21,118.3
1,0,1,0,1,1,15,6,9,2,0.44,6.19,15.48,19.0
5,1,1,1,1,1,25,2,21,2,0.68,12.25,153.12,171.2
0,1,1,1,1,1,2,6,20,3,0.83,18.75,6.25,10.3
0,0,5,0,2,1,38,2,10,4,0.48,9.81,74.56,76.2
2,0,2,1,4,1,22,6,11,5,0.93,24.11,75.14,89.8
5,1,1,1,1,1,46,2,21,4,0.6,12.92,297.16,300.0
0,1,5,1,1,1,47,5,14,2,0.25,16.4,61.66,66.3
3,2,2,1,2,1,35,2,13,6,0.66,20.29,301.81,300.0
4,1,3,1,1,1,0,6,8,3,0.71,17.12,2.0,3.8
0,0,5,1,1,1,19,4,21,1,0.95,12.37,23.5,31.0
3,1,4,1,8,2,17,2,13,5,0.34,23.45,109.63,116.6
1,1,5,1,1,1,12,6,10,6,0.89,16.73,13.38,16.7
3,0,4,1,3,1,9,1,15,6,0.56,8.4,41.58,49.1
3,1,3,1,2,1,27,4,15,5,0.68,9.79,46.26,54.1
2,2,1,1,1,1,45,3,18,5,0.28,50.0,750.0,300.0
0,2,1,1,1,1,26,1,9,2,0.84,32.14,835.64,300.0
4,1,2,0,1,1,10,3,12,3,0.7,14.0,39.67,44.4
1,0,4,1,1,1,2,6,15,0,0.14,9.46,2.0,4.2
0,0,1,1,1,1,16,7,14,1,0.22,9.97,22.79,25.6
0,0,1,0,1,1,12,7,10,5,0.25,6.91,11.85,12.0
2,2,2,0,3,2,20,2,10,1,0.6,50.0,425.0,300.0
3,1,1,1,4,1,27,2,9,6,0.17,15.01,202.64,209.6
0,1,2,1,2,1,12,3,20,4,0.5,19.55,66.47,74.0
2,1,3,1,2,1,2,4,15,6,0.39,31.79,11.13,16.6
0,1,2,1,2,0,32,4,10,3,0.5,22.92,155.86,168.9
3,1,2,1,6,1,48,3,8,0,0.87,15.63,212.57,245.8
0,1,2,0,2,1,11,6,11,0,0.37,18.67,29.09,32.5
3,0,1,0,2,2,11,6,10,1,0.24,3.06,5.61,6.5
1,2,1,1,1,1,26,6,21,2,0.32,37.22,161.29,170.3
5,0,1,0,1,1,0,6,17,1,0.61,4.54,2.0,1.5
0,2,3,1,1,1,46,3,16,1,0.34,34.41,369.33,300.0
1,2,3,1,1,2,6,1,11,0,0.93,34.64,145.49,170.6
0,1,2,1,3,2,0,1,14,6,0.24,30.86,2.0,4.1
5,0,1,1,1,2,8,3,16,5,0.49,7.38,19.68,22.1
4,0,1,1,1,1,36,6,11,4,0.9,9.02,54.12,65.6
1,0,5,0,4,1,22,7,13,3,0.97,10.87,13.67,15.9
3,2,1,0,3,0,48,2,21,1,0.32,18.0,432.0,300.0
4,2,1,1,1,1,7,3,13,0,0.14,31.43,73.34,76.6
2,0,1,0,1,0,2,1,18,3,0.83,14.42,28.84,32.2
2,0,3,1,3,2,26,6,20,2,0.94,23.91,72.53,88.7
0,2,3,0,1,1,38,1,8,4,0.39,27.68,736.29,300.0
0,0,5,1,1,1,31,7,11,0,0.63,11.08,19.63,24.3
4,2,4,0,1,1,43,4,10,2,0.61,27.07,160.05,174.6
5,1,1,1,1,2,39,2,12,6,0.58,15.96,311.22,300.0
3,2,3,1,2,1,10,1,16,5,0.3,22.97,160.79,168.7
1,0,5,0,3,1,12,7,21,6,0.65,8.98,6.16,5.5
1,0,2,1,1,1,22,6,12,4,0.89,8.47,26.4,36.0
3,0,1,1,1,1,31,4,21,5,0.39,4.83,37.43,43.6
4,2,1,1,4,1,29,2,14,4,0.22,45.73,663.08,300.0
4,0,4,1,1,1,44,1,20,4,0.8,8.61,208.36,237.0
4,1,5,0,2,0,21,2,13,5,0.85,17.12,71.9,85.2
3,1,5,1,3,1,3,2,10,2,0.8,12.98,7.79,12.0
0,2,2,1,1,1,7,7,10,6,0.13,29.75,25.29,29.5
0,0,3,1,1,1,29,2,18,5,0.65,10.79,109.52,120.2
4,0,3,0,3,2,13,3,10,3,0.66,8.11,24.6,30.8
3,0,2,1,1,1,4,4,14,1,0.31,6.29,5.35,8.2
0,1,4,1,2,1,26,7,8,2,0.19,20.72,42.33,42.5
0,0,3,1,1,1,6,7,13,6,0.85,10.96,6.58,9.9
3,0,1,0,2,1,18,6,9,4,0.23,3.35,10.05,9.2
0,2,1,1,1,0,7,6,14,4,0.8,38.39,44.79,52.4
0,0,2,1,1,1,28,1,10,6,0.58,10.73,255.37,277.5
2,1,2,1,3,2,43,5,8,6,0.71,48.23,352.56,300.0
3,0,1,1,3,1,26,1,14,2,0.89,7.86,204.36,235.1
3,1,2,0,2,1,36,1,15,0,1.0,6.81,208.39,241.0
0,0,5,0,1,1,35,1,20,1,0.92,7.66,107.24,122.3
3,1,2,1,2,2,37,3,13,4,0.3,11.33,118.78,128.9
0,0,3,0,3,1,5,5,21,0,0.38,12.87,9.01,11.8
1,1,3,1,1,1,48,5,13,5,0.78,16.18,108.73,128.5
3,0,1,1,1,1,36,2,9,2,0.11,6.21,111.78,115.6
3,1,1,1,2,2,30,5,19,3,0.1,11.69,70.14,73.5
4,2,4,1,1,1,14,7,19,6,0.31,30.78,33.86,38.3
3,0,2,1,4,1,20,7,12,4,0.41,9.24,22.44,25.3
2,0,5,1,1,2,5,2,15,2,0.23,18.41,18.41,20.8
0,0,4,1,1,2,31,4,9,6,0.21,11.96,50.98,53.6
1,2,2,1,4,2,47,2,16,5,0.23,50.0,998.75,300.0
1,0,1,1,1,2,35,3,17,0,0.32,9.73,113.52,120.0
0,2,2,1,1,2,40,7,17,0,0.81,42.14,204.68,231.3
5,0,2,1,1,1,49,4,11,2,0.78,6.82,71.01,82.6
1,1,4,1,1,1,24,7,20,6,0.61,19.47,36.71,41.2
4,1,2,1,2,0,23,3,14,0,0.7,19.83,129.23,147.3
3,0,3,1,2,2,10,2,18,4,0.75,6.77,23.69,27.9
4,1,2,1,1,1,42,3,11,2,0.59,16.37,194.8,211.3
2,1,1,0,1,1,15,4,8,5,0.7,26.4,99.0,110.8
2,1,2,1,1,0,42,5,10,1,0.36,28.82,205.77,218.0
2,1,2,1,2,1,39,5,8,1,0.26,33.23,220.31,233.2
0,1,5,0,1,2,43,7,15,0,0.35,19.98,49.09,52.1
3,1,2,1,1,1,5,1,15,2,0.64,8.7,36.98,39.0
1,0,1,1,1,1,44,2,12,4,0.52,10.26,225.72,245.7
0,0,2,0,3,1,8,7,10,6,0.34,10.35,10.05,9.9
3,0,2,0,3,1,12,7,16,4,0.29,3.72,5.42,4.7
0,0,2,0,1,1,18,1,10,0,0.14,8.75,133.88,134.4
5,1,2,1,1,0,20,5,13,6,0.71,14.83,50.42,60.4
5,1,1,0,1,2,14,2,11,4,0.66,12.88,90.16,99.4
5,1,1,0,1,1,22,4,8,1,0.5,9.57,52.64,59.7
1,1,1,1,1,2,28,2,16,2,0.13,23.75,332.5,300.0
0,0,2,1,2,1,9,2,10,2,0.12,13.08,50.03,53.9
5,0,3,1,4,2,8,2,14,4,0.91,12.66,35.45,43.8
2,1,2,0,1,1,28,7,8,6,0.77,23.04,78.34,89.1
5,0,1,1,1,2,43,2,15,5,0.87,8.73,187.7,218.1
5,2,4,1,1,1,1,4,12,3,0.87,21.37,2.94,9.3
4,0,2,1,1,1,15,7,15,4,0.26,7.2,13.11,16.3
1,1,3,0,2,1,8,3,13,1,0.26,20.61,38.47,38.9
1,2,3,1,1,1,40,1,12,5,0.98,35.63,997.64,300.0
4,1,2,1,1,2,32,6,12,1,0.4,17.72,80.33,84.9
1,0,3,1,1,1,24,3,11,2,0.11,7.92,44.35,50.2
0,0,3,1,1,1,42,4,11,1,0.98,12.13,89.16,105.0
2,0,3,1,2,1,16,6,13,4,0.94,20.39,38.06,44.8
5,1,3,1,1,1,39,7,14,2,0.55,12.83,50.04,56.7
3,0,1,0,2,1,25,1,10,2,0.65,3.34,83.5,97.2
2,0,1,1,2,2,37,2,19,5,0.17,23.96,443.26,300.0
0,1,2,1,2,0,39,2,11,5,0.56,24.42,404.76,300.0
3,0,2,1,2,1,18,4,19,0,0.7,6.37,24.37,28.7
5,1,2,1,1,1,47,6,11,6,0.5,12.1,80.57,89.1
0,0,2,1,1,1,1,4,19,6,0.29,11.05,2.35,8.1
2,0,2,1,4,1,45,6,16,1,0.71,26.71,170.28,191.1
4,1,4,1,1,1,6,6,10,0,0.85,16.73,9.2,13.7
3,0,2,1,1,1,19,6,21,1,0.4,5.58,15.02,17.9
3,2,1,1,6,1,26,5,14,2,0.24,33.22,172.74,183.3
3,0,2,1,3,1,34,2,21,1,0.13,8.33,120.37,126.2
1,0,3,0,2,1,42,2,21,1,0.61,8.12,119.36,132.2
1,0,2,1,1,1,27,4,8,5,0.13,8.67,49.74,51.7
4,0,1,1,1,1,36,5,20,2,0.84,7.71,55.51,63.1
4,1,2,1,1,2,22,2,15,4,0.5,22.13,206.92,223.8
4,0,3,0,1,0,18,5,9,2,0.31,5.26,13.26,15.4
5,0,1,1,1,1,1,3,16,5,0.72,6.97,2.32,4.1
2,0,3,1,1,1,9,5,20,4,0.66,12.94,16.3,19.8
2,0,1,1,6,1,48,6,21,5,0.36,29.31,234.48,252.1
4,0,5,0,2,1,26,2,12,3,0.23,6.86,35.67,38.8
3,1,2,1,2,1,25,1,19,0,0.36,9.26,196.78,208.4
3,2,2,1,4,2,41,2,19,2,0.91,33.0,575.02,300.0
4,0,2,0,1,1,29,7,20,1,0.91,4.29,15.11,15.8
4,0,1,1,1,1,41,3,20,2,0.33,8.55,116.85,123.4
1,1,2,1,1,0,20,7,21,0,0.22,18.71,45.44,49.5
1,0,2,1,1,1,33,2,12,3,0.22,9.45,132.54,139.3
0,0,1,1,1,1,19,7,13,2,0.81,9.71,26.36,33.7
2,1,1,1,8,0,47,7,14,4,0.89,50.0,335.71,300.0
0,1,2,1,2,1,46,7,12,6,0.84,20.09,112.22,130.3
2,0,3,1,2,2,30,6,15,4,0.41,22.25,77.88,83.1
2,0,2,1,2,0,24,4,14,4,0.5,20.47,104.4,112.7
1,1,3,0,3,0,12,5,21,2,0.56,24.38,40.96,44.9
2,1,1,1,1,1,20,3,16,3,0.48,28.17,187.8,205.9
0,1,2,0,4,1,43,6,16,6,0.72,22.95,139.8,155.5
0,1,2,0,1,2,7,1,13,3,0.22,20.26,120.55,128.9
4,0,1,1,1,1,48,4,19,2,0.71,8.44,101.28,117.3
1,0,5,0,3,1,24,4,12,6,0.23,8.41,20.18,20.9
0,0,3,1,1,1,4,1,16,0,0.11,10.65,29.82,33.9
2,2,2,1,1,1,44,2,16,6,0.91,50.0,935.0,300.0
4,1,2,1,1,1,24,7,11,2,0.59,16.6,48.38,54.2
0,1,4,0,1,2,17,4,11,6,0.32,19.82,46.33,47.3
3,2,3,1,3,2,16,7,21,0,0.95,24.66,39.46,44.1
0,1,1,0,2,1,1,7,13,6,0.14,21.39,3.06,4.6
0,1,2,1,3,1,9,4,20,5,0.29,26.01,49.74,53.8
2,1,1,1,4,1,29,6,16,6,0.94,48.26,233.26,270.8
2,0,3,0,2,2,49,3,19,1,0.97,16.3,186.36,212.0
3,2,2,0,1,1,21,3,13,5,0.81,14.58,86.75,97.2
3,1,1,0,2,2,35,5,18,1,0.61,9.69,67.83,74.9
5,0,4,1,2,1,5,2,15,2,0.45,9.42,12.95,14.6
2,0,4,1,2,1,23,2,14,2,0.56,20.59,130.23,145.1
1,1,4,0,1,1,1,6,18,0,0.59,15.88,2.0,2.0
4,0,1,0,2,0,4,1,19,1,0.16,6.68,26.72,28.6
1,0,3,1,1,0,1,7,14,3,0.55,9.75,2.0,6.6
2,0,1,1,4,0,13,5,12,3,0.2,24.21,62.95,66.0
0,1,1,1,1,0,26,2,9,4,0.99,19.5,253.5,295.9
0,0,1,1,1,1,9,1,18,1,0.57,11.12,100.08,113.1
5,1,3,0,1,0,48,4,20,5,0.11,10.04,84.34,88.4
4,1,2,1,1,1,16,6,19,0,0.88,18.99,43.04,52.4
3,2,4,1,3,2,37,4,16,2,0.69,32.62,165.95,190.8
2,1,3,0,1,1,1,1,16,4,0.2,25.41,17.79,20.7
0,1,3,1,1,1,42,1,10,3,0.31,20.41,600.05,300.0
0,0,4,1,1,1,25,7,8,5,0.69,9.54,18.74,25.7
1,0,2,0,1,1,43,1,12,1,0.91,5.87,214.55,246.4
2,1,4,1,3,1,48,2,11,3,0.5,42.37,559.28,300.0
3,0,1,1,1,1,26,3,12,1,0.45,4.79,41.51,49.3
3,1,4,1,1,2,33,2,21,3,0.75,10.71,97.19,113.3
1,0,4,0,4,1,0,5,9,2,0.94,9.57,2.0,2.4
5,0,2,1,1,2,48,4,20,5,0.43,8.86,90.37,99.4
3,2,2,1,2,1,39,6,20,1,0.32,17.59,97.18,102.7
2,1,2,0,4,1,2,7,14,3,0.3,41.57,10.1,17.4
3,1,2,1,1,1,26,2,13,5,0.64,8.94,98.79,110.6
2,0,3,0,2,1,19,3,21,5,0.46,12.24,54.26,60.0
0,0,2,1,2,1,41,5,12,3,0.91,12.34,86.01,101.0
1,0,2,1,3,2,23,5,12,1,0.15,15.64,61.15,66.7
4,0,1,0,1,1,35,4,9,5,0.44,5.46,47.78,51.9
0,1,4,0,1,2,47,6,18,5,0.81,18.16,78.24,86.4
0,0,1,0,1,1,4,3,18,0,0.52,8.33,11.11,13.0
0,0,3,1,4,0,14,4,15,1,0.82,16.99,41.63,53.0
0,1,2,1,1,2,40,6,17,0,0.17,25.97,147.16,153.9
4,0,2,0,2,1,26,4,13,6,0.67,6.43,35.53,41.5
3,1,1,1,1,0,26,1,19,6,0.18,9.33,242.58,249.7
2,1,3,0,1,2,44,6,8,3,0.26,31.53,161.85,169.4
0,0,5,0,1,0,5,2,20,0,0.55,9.21,9.21,6.4
2,1,1,0,3,0,3,7,15,6,0.75,40.28,17.26,18.1
2,2,1,1,2,1,1,1,21,6,0.63,50.0,50.0,54.6
0,1,1,0,2,2,3,5,12,3,0.99,25.51,15.31,17.5
2,0,1,1,2,2,20,3,20,1,0.79,20.2,134.67,152.3
1,0,2,0,2,1,14,4,16,6,0.31,8.13,24.19,25.1
3,0,1,1,1,1,34,3,15,0,0.59,5.06,57.35,64.3
3,1,1,1,8,1,34,7,14,5,0.25,22.93,111.37,120.9
0,0,2,1,1,1,34,6,13,4,0.46,10.83,52.16,57.0
1,1,2,0,1,1,12,6,19,0,0.57,13.8,23.46,24.0
3,1,2,0,3,1,12,1,16,3,0.55,8.23,83.95,91.6
2,2,5,0,3,1,24,3,16,0,0.16,50.0,160.0,165.4
4,0,1,1,1,1,38,3,12,0,0.52,7.38,93.48,103.2
3,0,1,1,8,1,31,7,11,0,0.77,13.34,59.08,70.1
0,2,2,1,3,0,40,7,21,6,0.95,47.63,231.35,264.3
0,0,2,1,3,1,36,6,9,6,0.22,14.56,74.26,77.9
3,1,4,0,4,2,32,6,8,3,0.74,11.64,34.14,36.1
0,0,1,1,3,1,0,7,20,3,0.81,13.79,2.0,7.1
2,2,3,0,8,1,11,4,14,2,0.5,50.0,96.25,107.0
5,1,1,1,1,1,31,7,9,5,0.56,12.28,54.38,60.8
2,0,1,0,2,1,41,2,15,6,0.43,14.93,306.06,300.0
1,1,3,0,1,1,37,5,13,1,0.89,14.58,75.52,84.7
3,2,1,1,1,1,47,4,16,4,0.81,14.57,171.2,192.4
2,0,4,0,1,1,32,7,16,0,1.0,12.24,30.77,38.5
2,0,2,1,2,2,35,3,21,1,0.65,24.33,241.27,267.4
5,1,2,1,1,1,25,6,10,5,0.67,11.7,41.44,46.0
1,2,1,1,1,1,31,6,15,3,0.61,30.56,157.89,173.5
5,0,4,0,1,0,5,4,16,5,0.77,4.64,3.19,3.1
5,0,3,1,1,2,35,5,13,1,0.66,9.29,45.52,50.1
0,0,1,0,2,1,8,2,11,0,0.17,8.87,35.48,35.1
0,0,4,0,1,1,15,3,13,6,0.66,9.16,25.19,26.1
0,0,4,1,1,1,3,2,18,6,0.36,12.11,9.99,11.8
0,0,2,0,2,1,28,4,10,5,0.36,9.4,55.93,61.9
0,1,2,0,1,1,6,3,16,5,0.52,17.02,28.93,35.3
3,1,1,1,4,1,45,1,9,4,0.25,16.28,732.6,300.0
0,1,1,0,1,0,40,7,10,4,0.14,16.05,91.71,94.6
1,0,4,1,1,2,12,3,9,5,0.32,10.57,23.25,26.1
4,1,1,1,1,1,1,3,10,3,0.71,15.92,5.31,9.7
0,1,1,0,1,2,20,5,18,2,0.77,21.18,84.72,96.8
4,2,2,1,1,1,16,7,19,0,0.41,26.48,51.45,58.5
1,1,2,1,1,1,48,7,13,6,0.17,17.99,104.86,108.5
0,0,3,1,1,1,4,1,12,0,0.13,11.74,32.87,36.1
3,1,2,1,4,1,3,5,12,4,0.97,13.69,6.98,10.5
3,0,1,1,3,1,8,1,18,6,0.84,7.96,63.68,74.9
