service_type,priority_score,is_walk_in,party_size,age_bracket,queue_length_ahead,active_counters,hour_of_day,day_of_week,rolling_velocity_mins,queuing_theory_baseline,actual_wait_mins
2,2,1,3,1,17,6,9,2,35.0,61.09,66.5
0,1,1,1,1,18,2,12,5,10.34,70.06,73.7
1,2,0,2,1,1,4,12,4,18.45,8.36,9.1
2,3,0,1,0,6,1,14,1,26.81,88.4,114.8
1,1,1,3,1,38,1,16,0,23.64,636.73,240.0
1,1,1,2,2,8,3,17,4,25.74,56.91,72.6
1,2,0,2,2,16,4,13,1,24.87,68.76,93.5
0,3,1,4,0,39,1,18,1,21.01,408.03,240.0
0,5,1,1,1,43,6,10,3,9.94,20.27,21.4
1,1,0,1,0,4,1,13,1,16.8,52.23,70.4
1,4,0,1,1,9,5,12,2,12.92,13.45,15.3
2,2,0,2,1,7,4,16,2,33.34,39.27,37.6
2,1,0,1,1,18,4,12,4,29.18,102.48,117.9
1,5,0,3,1,7,2,13,5,18.23,223.96,240.0
1,1,1,2,1,12,4,17,0,25.07,61.03,72.1
1,3,1,1,1,18,6,10,0,17.99,26.95,32.6
1,3,1,1,0,17,5,18,6,20.32,39.24,49.9
1,2,1,1,1,10,4,14,3,15.67,29.27,45.1
1,3,0,1,1,43,5,14,6,13.96,63.01,85.1
2,2,1,1,2,23,5,14,6,35.0,106.69,141.5
0,1,1,1,1,40,5,13,0,10.58,63.69,81.9
0,3,0,2,1,13,1,13,2,7.59,50.89,70.8
0,4,1,1,2,38,2,10,2,12.33,92.86,94.1
1,2,0,1,1,27,4,15,2,15.65,68.2,89.1
0,5,0,1,1,0,4,14,5,5.78,2.23,7.3
0,2,1,1,1,13,2,18,4,8.85,43.97,46.0
1,2,0,1,0,22,1,9,0,14.32,203.89,228.5
0,3,1,1,1,12,6,14,2,9.79,12.7,19.6
1,1,1,1,1,22,4,18,5,15.39,64.7,76.9
0,4,1,1,1,9,6,16,3,8.15,5.23,7.2
0,3,1,2,1,45,5,17,0,12.81,60.54,76.6
1,4,0,1,1,27,3,14,3,15.31,57.71,78.9
0,2,1,3,2,32,2,17,0,20.18,198.95,234.1
0,4,0,1,0,7,3,18,5,6.79,8.52,8.2
1,3,1,1,1,42,2,13,4,17.57,186.64,240.0
1,2,1,1,2,25,5,11,5,19.14,57.83,59.7
0,4,0,1,0,18,3,15,6,5.86,15.54,20.7
1,2,1,1,1,5,2,14,5,19.85,36.33,50.6
0,2,1,1,1,34,1,18,3,8.31,222.65,240.0
0,1,0,1,1,40,2,12,0,5.27,76.63,86.2
1,4,1,1,1,14,5,10,1,18.77,26.09,29.0
1,1,1,1,1,6,4,18,5,18.89,25.52,33.4
1,1,1,3,2,21,4,10,0,35.0,131.11,150.5
1,1,1,1,1,21,6,11,1,18.51,46.04,51.1
2,2,1,1,1,18,6,11,1,30.9,59.92,63.2
1,1,1,1,1,42,6,11,1,17.49,88.3,87.3
0,3,1,1,2,2,1,18,2,13.35,17.9,25.7
1,2,1,1,0,31,3,18,4,18.69,203.82,240.0
0,3,1,1,1,4,3,15,4,10.31,11.68,19.1
0,1,1,2,0,39,1,10,5,12.46,348.9,240.0
0,1,1,2,1,36,2,14,3,10.89,142.02,190.3
0,3,1,1,1,39,6,11,4,10.38,33.79,38.6
2,2,1,1,1,15,5,14,4,31.81,68.33,95.7
1,1,1,2,1,21,1,11,4,21.31,319.94,240.0
1,5,1,1,1,0,5,15,0,18.47,5.6,8.0
0,1,1,1,1,35,6,10,1,8.23,34.5,38.1
0,1,1,2,0,16,2,11,4,12.24,74.97,88.0
0,2,1,2,1,7,3,12,5,12.5,22.86,23.0
0,1,1,2,2,20,6,15,3,13.82,38.15,51.6
1,1,1,1,2,20,5,10,6,23.67,73.1,72.4
1,3,1,2,1,28,5,11,3,20.55,57.47,61.1
1,1,0,1,1,31,5,10,1,15.73,69.32,71.0
0,1,1,1,1,2,2,11,0,9.92,10.38,13.5
2,4,1,1,2,13,6,10,2,33.88,29.3,34.0
1,2,1,1,0,44,4,15,0,19.07,131.65,174.9
1,1,0,2,1,21,5,16,4,17.43,51.89,59.0
1,2,1,1,1,18,4,9,1,16.98,49.62,53.3
0,1,0,1,1,8,3,11,4,6.77,13.87,23.1
0,2,0,1,1,34,1,11,5,6.63,147.56,148.8
0,2,0,1,1,37,5,12,3,5.81,29.29,32.1
1,5,1,1,2,7,3,15,6,21.75,21.18,32.0
0,2,1,1,1,27,2,16,3,8.65,70.74,74.1
0,3,0,1,1,22,2,17,0,6.34,122.83,144.6
0,1,1,1,1,28,4,12,2,8.22,44.15,44.3
0,2,1,1,1,15,1,16,5,10.09,103.53,106.2
2,1,0,1,1,20,2,13,2,28.28,206.98,240.0
1,2,0,1,0,20,6,17,0,16.25,37.69,45.9
0,2,0,2,1,25,3,12,1,7.99,42.53,41.1
0,5,1,1,0,4,2,16,0,11.38,15.56,20.6
0,4,1,1,0,30,3,16,0,11.45,44.93,49.7
0,2,1,3,2,41,1,18,4,16.45,432.93,240.0
0,1,1,1,2,35,2,17,4,11.66,155.46,186.1
0,2,1,1,1,20,5,18,2,10.45,27.61,35.0
0,3,0,2,0,17,1,9,6,7.04,61.5,62.2
1,1,1,2,1,13,1,11,6,24.04,226.88,230.5
1,2,0,1,1,40,2,16,5,15.98,193.95,194.4
0,1,1,1,1,37,2,15,5,9.33,125.8,163.9
0,1,1,1,1,24,2,11,2,9.91,89.03,89.6
1,1,1,1,1,10,6,13,4,19.24,30.59,42.7
1,5,1,1,1,15,1,14,1,17.14,77.35,99.7
2,1,0,1,1,21,2,13,4,29.44,225.34,240.0
1,1,1,2,2,29,4,15,3,30.82,167.17,217.8
0,5,0,1,1,39,4,13,1,6.22,20.32,25.3
0,2,1,2,2,18,2,14,0,16.7,95.06,126.5
1,3,1,2,0,4,5,9,1,22.73,10.28,11.4
0,2,1,1,2,10,1,14,6,12.85,81.17,105.6
1,2,1,2,1,6,6,18,4,18.61,17.02,22.9
2,1,1,1,1,30,5,11,5,30.97,134.3,137.4
1,2,0,1,0,25,2,17,3,14.43,244.47,240.0
0,2,1,1,1,23,2,14,4,9.79,70.31,95.9
1,2,1,1,1,10,3,14,5,18.58,43.91,63.3
0,2,0,1,1,21,6,16,6,5.9,12.52,8.9
1,3,0,1,1,44,2,18,5,14.51,166.88,197.0
2,2,1,2,0,40,6,18,3,35.0,149.91,182.7
0,2,0,2,2,22,6,18,3,9.92,25.39,29.8
2,1,1,1,0,36,5,12,5,35.0,188.85,189.9
2,4,0,1,1,8,6,18,3,29.48,29.58,33.2
0,2,1,1,1,29,1,15,5,8.62,151.74,196.9
0,2,1,2,2,34,1,10,0,16.93,370.5,240.0
0,2,1,2,1,33,4,18,5,13.38,71.05,87.6
0,4,1,1,1,4,3,17,1,8.39,7.5,16.5
0,4,1,1,1,5,4,15,5,8.75,8.04,12.4
1,1,0,1,1,16,5,9,5,12.82,30.62,31.4
0,3,1,1,1,37,4,11,5,8.97,41.28,40.8
0,1,1,1,1,33,5,11,6,8.4,39.81,38.6
1,1,1,3,2,44,4,15,0,35.0,281.72,240.0
0,3,0,4,1,35,1,10,6,10.44,185.51,187.9
1,1,1,1,2,16,6,15,1,22.93,50.25,68.2
0,1,0,3,2,26,6,17,5,12.2,40.22,49.4
0,2,0,1,1,45,1,15,1,5.83,158.81,205.0
1,3,1,2,2,9,1,18,1,27.14,129.44,155.6
1,1,0,1,1,43,4,13,6,13.23,105.23,139.4
2,1,1,2,2,24,4,16,3,35.0,158.1,160.9
1,1,0,1,1,14,2,9,0,15.97,92.43,105.7
1,1,1,2,0,43,1,9,0,26.6,810.12,240.0
0,1,0,2,0,26,4,11,1,7.23,34.96,37.1
0,4,1,1,1,1,4,15,5,9.5,4.49,10.8
1,1,0,1,2,19,2,14,6,16.18,113.64,151.1
1,2,0,1,1,25,3,18,0,13.18,78.09,97.8
2,4,0,2,0,0,2,17,3,35.0,11.74,17.2
0,2,0,1,1,13,4,15,5,6.32,15.09,18.8
0,1,1,1,1,20,3,16,4,9.46,47.94,55.7
1,2,1,1,0,22,1,18,1,17.23,231.17,240.0
0,4,1,2,1,19,3,13,6,10.57,29.16,38.8
2,2,1,1,1,36,2,13,3,32.35,357.23,240.0
2,2,0,1,0,12,3,18,1,31.2,84.31,99.2
0,1,1,1,1,22,3,16,0,9.11,47.56,55.5
1,2,1,1,1,26,2,9,5,17.98,154.75,157.0
1,1,0,1,1,27,6,10,0,12.43,39.51,40.0
0,3,0,1,1,1,4,9,1,5.93,3.06,3.9
2,2,1,1,1,38,4,10,6,32.98,189.56,191.0
1,2,1,1,0,45,6,16,5,20.39,93.98,98.3
1,3,1,2,1,4,4,12,1,21.5,115.65,113.1
0,1,0,1,0,38,5,18,0,6.88,40.5,52.6
2,3,0,1,1,1,5,9,2,26.38,5.52,6.1
0,2,1,1,2,22,6,10,1,13.17,30.7,36.9
0,2,1,1,0,30,5,14,2,10.09,41.02,57.0
2,1,1,4,2,22,4,9,0,35.0,143.55,167.4
0,2,0,1,1,31,1,11,4,5.65,116.35,132.4
0,2,1,1,1,39,2,17,2,10.5,125.95,151.0
2,2,0,1,2,41,3,13,0,35.0,295.78,240.0
2,2,1,2,1,9,2,11,1,35.0,128.01,126.5
1,1,1,1,0,40,1,13,6,18.17,516.22,240.0
1,2,1,1,1,41,4,17,4,18.23,116.65,138.5
0,2,1,1,0,31,5,15,1,11.71,47.6,64.6
0,2,0,1,2,20,6,9,5,7.89,17.56,18.2
0,2,1,2,2,7,5,15,6,15.6,19.0,28.8
1,1,0,1,1,42,3,13,5,12.0,122.85,157.7
1,1,0,1,2,8,5,18,2,16.14,26.5,29.4
1,2,0,3,1,36,1,17,4,23.4,509.11,240.0
1,2,0,2,1,44,5,11,1,19.94,106.25,109.1
0,2,1,1,1,27,4,14,5,10.76,48.79,66.2
0,4,0,1,1,45,4,17,4,5.5,26.41,33.3
0,3,0,1,1,19,5,13,6,5.95,14.49,22.8
1,1,1,1,2,27,4,16,2,18.87,93.98,95.1
0,2,1,1,1,42,3,10,1,8.9,79.28,82.8
2,2,0,1,1,31,3,12,1,26.35,170.56,174.4
0,2,1,1,1,29,2,16,6,9.1,80.59,83.6
0,5,1,2,2,45,5,11,4,14.09,35.98,41.8
0,2,1,2,1,11,2,10,0,10.44,44.63,52.9
1,3,0,2,2,36,1,12,6,23.9,430.47,240.0
1,5,1,1,1,14,2,9,6,15.6,36.52,39.7
0,1,1,1,1,43,3,12,4,8.76,90.66,103.1
0,1,1,3,1,20,6,14,5,13.51,37.19,50.9
1,2,0,1,0,44,3,17,2,15.67,142.09,166.8
0,1,1,2,2,17,3,9,1,13.55,55.8,56.6
1,1,1,1,1,32,3,11,5,17.85,136.05,133.5
1,5,0,1,2,30,5,12,6,16.49,32.82,36.7
0,5,0,3,1,28,1,14,0,8.94,73.93,95.0
0,3,0,1,2,25,5,14,4,6.58,18.21,20.7
2,3,1,1,2,32,2,15,6,34.71,284.55,240.0
0,1,0,1,1,14,5,15,3,6.62,17.24,23.4
0,2,1,3,1,40,3,18,4,12.75,105.3,125.5
1,1,0,2,1,0,4,9,0,18.2,2.0,2.0
2,2,0,1,1,25,3,18,0,31.52,166.11,198.2
2,2,1,1,2,39,1,14,2,35.0,826.05,240.0
1,2,0,1,1,19,5,13,0,14.9,39.8,50.9
0,1,1,1,1,10,1,11,2,9.16,71.1,73.7
0,1,1,1,2,17,5,16,5,11.52,30.08,35.2
1,2,1,1,1,27,4,17,1,19.93,86.53,105.7
1,2,0,1,1,22,5,12,4,12.03,37.08,40.8
0,2,1,1,1,7,3,14,1,10.11,18.54,22.0
2,1,1,1,1,28,3,15,0,32.25,221.19,240.0
0,4,1,1,1,9,5,18,5,10.28,21.19,27.8
0,1,0,1,1,45,2,11,2,6.29,100.35,101.6
0,3,0,1,1,11,1,10,1,5.86,40.73,41.5
0,1,0,2,1,45,5,10,3,7.84,50.41,56.4
0,2,1,2,1,29,4,14,0,13.2,62.08,87.0
0,3,0,2,1,30,3,10,2,7.24,36.33,37.8
0,3,1,2,1,24,4,13,3,12.48,42.51,57.9
